language,fold,cost_scheme,budget_fraction,budget,strategy,covered,total,coverage_percent,selected_count,selected_cost,coverage_std
Java,3,steep,0.2,20.8,frequency_per_cost,44.0,124,35.483870967741936,11.0,20.0,
Java,3,steep,0.2,20.8,cheap_first,26.0,124,20.967741935483872,16.0,20.0,
Java,3,steep,0.2,20.8,exact_cost_aware,55.0,124,44.354838709677416,4.0,20.0,
Java,3,steep,0.2,20.8,random,13.286000000000001,124,10.714516129032258,7.719,20.0,7.420532465748546
Java,3,steep,0.3,31.2,frequency,70.0,124,56.45161290322581,6.0,31.0,
Java,3,steep,0.3,31.2,frequency_per_cost,72.0,124,58.064516129032256,10.0,31.0,
Java,3,steep,0.3,31.2,cheap_first,30.0,124,24.193548387096776,19.0,29.0,
Java,3,steep,0.3,31.2,exact_cost_aware,72.0,124,58.064516129032256,10.0,31.0,
Java,3,steep,0.3,31.2,random,22.150999999999996,124,17.86370967741935,11.219,31.0,9.728685737361056
Java,3,steep,0.4,41.6,frequency,84.0,124,67.74193548387096,11.0,41.0,
Java,3,steep,0.4,41.6,frequency_per_cost,81.0,124,65.3225806451613,14.0,41.0,
Java,3,steep,0.4,41.6,cheap_first,33.0,124,26.612903225806452,23.0,41.0,
Java,3,steep,0.4,41.6,exact_cost_aware,78.0,124,62.903225806451616,14.0,41.0,
Java,3,steep,0.4,41.6,random,30.151999999999997,124,24.316129032258065,14.306,41.0,11.357095782971234
Java,3,steep,0.5,52.0,frequency,93.0,124,75.0,13.0,52.0,
Java,3,steep,0.5,52.0,frequency_per_cost,82.0,124,66.12903225806451,19.0,52.0,
Java,3,steep,0.5,52.0,cheap_first,33.0,124,26.612903225806452,26.0,50.0,
Java,3,steep,0.5,52.0,exact_cost_aware,81.0,124,65.3225806451613,18.0,52.0,
Java,3,steep,0.5,52.0,random,42.413000000000004,124,34.204032258064515,17.809,51.997,12.58151942849387
Java,4,linear,0.1,6.2,frequency,15.0,129,11.627906976744185,3.0,6.0,
Java,4,linear,0.1,6.2,frequency_per_cost,15.0,129,11.627906976744185,3.0,6.0,
Java,4,linear,0.1,6.2,cheap_first,8.0,129,6.2015503875969,6.0,6.0,
Java,4,linear,0.1,6.2,exact_cost_aware,15.0,129,11.627906976744185,3.0,6.0,
Java,4,linear,0.1,6.2,random,5.707999999999999,129,4.424806201550387,3.592,6.0,3.632235102171125
Java,4,linear,0.2,12.4,frequency,54.0,129,41.86046511627907,6.0,12.0,
Java,4,linear,0.2,12.4,frequency_per_cost,54.0,129,41.86046511627907,6.0,12.0,
Java,4,linear,0.2,12.4,cheap_first,14.0,129,10.852713178294573,12.0,12.0,
Java,4,linear,0.2,12.4,exact_cost_aware,54.0,129,41.86046511627907,6.0,12.0,
Java,4,linear,0.2,12.4,random,12.655999999999999,129,9.810852713178294,6.861,12.0,5.970047977460389
Java,4,linear,0.3,18.6,frequency,65.0,129,50.3875968992248,7.0,18.0,
Java,4,linear,0.3,18.6,frequency_per_cost,65.0,129,50.3875968992248,10.0,18.0,
Java,4,linear,0.3,18.6,cheap_first,22.0,129,17.05426356589147,16.0,18.0,
Java,4,linear,0.3,18.6,exact_cost_aware,65.0,129,50.3875968992248,10.0,18.0,
Java,4,linear,0.3,18.6,random,20.889,129,16.193023255813955,10.03,18.0,7.987537986454956
Java,4,linear,0.4,24.8,frequency,68.0,129,52.713178294573645,10.0,24.0,
Java,4,linear,0.4,24.8,frequency_per_cost,76.0,129,58.91472868217054,11.0,24.0,
Java,4,linear,0.4,24.8,cheap_first,26.0,129,20.155038759689923,19.0,24.0,
Java,4,linear,0.4,24.8,exact_cost_aware,76.0,129,58.91472868217054,11.0,24.0,
Java,4,linear,0.4,24.8,random,30.243999999999996,129,23.444961240310075,13.162,24.0,9.721676335366709
Java,4,linear,0.5,31.0,frequency,83.0,129,64.34108527131782,14.0,31.0,
Java,4,linear,0.5,31.0,frequency_per_cost,83.0,129,64.34108527131782,14.0,31.0,
Java,4,linear,0.5,31.0,cheap_first,27.0,129,20.930232558139537,22.0,30.0,
Java,4,linear,0.5,31.0,exact_cost_aware,81.0,129,62.7906976744186,14.0,31.0,
Java,4,linear,0.5,31.0,random,41.692,129,32.31937984496124,16.931,31.0,11.650288614794318
